1 160.08139353 22.2429228228
2 164.430913091 39.6725239229
3 167.376406015 54.4682190322
4 170.212010847 69.3647358603
5 173.186768624 83.5302433044
6 176.533836422 99.315185425
7 179.283232599 113.234929463
8 182.390349333 129.089182652
9 185.044484866 142.79465718
10 188.206633842 158.598458767
11 191.086259531 172.549636571
12 194.173338129 188.271494217
13 196.922925353 202.191150443
14 200.74910133 220.704441064
15 204.038139757 237.749529134
16 193.240462744 247.051781245
17 179.310175129 259.22791668
18 165.964280846 270.717164227
19 127.228151762 283.325176153
20 104.499954081 251.379733335
21 85.5448895855 269.221912051
22 70.6769941195 283.465426608
23 52.6497519647 288.087076543
24 49.7328094874 265.269760107
25 50.0371532224 242.212476752
26 59.0197213424 203.349681724
27 92.043769286 202.166674424
28 109.340884099 201.382947282
29 131.231943428 201.966106725
30 139.864443891 212.148217805
31 131.618185878 225.445444567
32 117.73379193 238.333841895
33 127.228151762 283.325176153
